idx,chapter,question,answer
0,14,How stroke effect personality,"This could be a side-effect of problems with language and difficulty with transportation. But the data illustrate an important lesson for the stroke survivor and family: 
Stroke causes social impairments as well as physical limitations.
It may come as no surprise that caregivers and spouses often report that it’s
no picnic to live with a loved one after he or she suffers a stroke. 
More than 60 percent of those who’ve experienced taking care of a stroke survivor describe the loved one as less patient, for example. "
1,14,What is the percentage of patients who lose some good personality traits,"Less patient 63%
Less capable 60
Less active 60
Less in control 57
Less independent 57
Less energetic 54
Less confident 43
Less easygoing 37
Less stable 37"
2,14,What I should do while returning to work within stroke,"Test yourself. Spend some time with your family, make sure you can read as well as you used to, go up and down the stairs, and remember phone numbers or names of all the people at work."
3,14,What is the daily checklist for stroke returning home,"Medications morning, noon, night
Three square meals
Three glasses of water
Range of movement morning, noon, night
Doctor appointments
Laboratory test appointments
Socialize outside the home
Telephone calls
Make a family connection
Take a walk or get some exercise"
4,14,What are some tips for stroke adapt new life,"Avoid the Three-Stroke Rule
Recovering Slowly but Surely
Rewiring the Brain
New Disabilities Will Affect How You Live
Ongoing Medical Therapy
Seeing Your Physician
Continuing Rehabilitation Therapy at Home
Returning to Work
Get Organized and Motivated
"
5,15,What  should I consider when using nursing-home care,"A skilled nursing facility offers complete care. Such places are set up to handle patients who are bedridden and require 24-hour assistance. 
Skilled nursing facilities are carefully regulated by the states. Many are certified for Medicare and Medicaid.
Whether you’re anticipating a short stay or a permanent placement in a nursing home, the search for the best facility is important. The care and wellbeing of a loved one is at stake, and there are many factors to consider from location to cost to quality of the professionals who work there."
6,15,What is the cost for nursing-home care service,"The cost of nursing-home care runs about $150 to $250 dollars a day. That’s $4,500 to $7,500 per month. That doesn’t include the cost of medications, which are added to the bill. There are different cost levels depending on the work required for the nurses and aides. Check whether you’re locked into a minimum stay. Also, verify whether the facilities are Medicare or Medicaid certified if that’s important to your needs."
7,15,How can we evaluate assisted-living facilities,"Assisted-living facilities go by a number of different names: personal-care homes, adult homes, retirement residences, and group homes, to name a few.
These facilities may offer help with bathing, dressing, meals, and housekeeping. 
They also offer a safe environment for individuals who are beginning to lose their memory.
They may not be as tightly regulated as nursing homes, so there may be greater disparity in quality of services and facility. 
A careful inspection is equally important when considering an assisted-living facility to be sure your needs match with their services."
8,15,What is the cost for assisted-living facilities,"You might pay $2,500 to $5,000 per month, depending on what you get. 
It is important to keep your focus on your prioritized list of needs. 
what is included in the basic fees."
9,15,What should I do if I get bad assisted-living stuffs,"Because assisted-living facilities are not closely regulated, it is harder to discover problems, and resolving them is not as easy. 
You should at least ask about the process for resolving complaints and working out ways to meet special needs that aren’t currently anticipated. 
This is one thing you should definitely talk to others at the facility and their family members about."
10,16,What are challenges for stroke while recovery,"make recovery or adjustment to life with stroke just a little more of a challenge: painful muscle spasms and contractures, driving limitations, depression and other psychological conditions, swallowing difficulties, and incontinence."
11,16,What is muscle spasticity problem while recovery,"It typically kicks in several months after the stroke and affects approximately 20 percent of stroke patients. What happens is this: 
Muscles that are weak become tense and contract abnormally, resulting in severe and painful spasms. 
Spasticity does not seem to be related to severity of stroke.
With stroke and muscles, you are likely to think more of paralysis than of overactive muscles. 
But overactivity is exactly what is happening with spasticity. 
Here’s what’s going on: Say you’re at the doctor, and she taps your knee tendon with her hammer. 
Nerves from the tendon carry electrical signals to the spinal cord. 
A normal brain receives these signals and reduces the speed and strength of the built-in rate of the electrical activity transferred back to the muscles. "
12,16,What is muscle freeze problem,"Serious problems can develop when muscles become frozen in position and can’t be straightened out. These rigid muscles are called contractures. 
Unless a person diligently stretches out these tight muscles, sometimes against a lot of resistance, they may become frozen in unusual postures. "
13,16,Do I might be depressed,"The matter gets even more confused by the high incidence of depression after a stroke. 
You can’t really tell how well you are thinking and planning and controlling your emotions after a stroke until you have taken care of any depression that may be present. 
Depression can make you more emotional, more impulsive, and less apt to plan well and analyze problems. 
Again, you may not be aware you are depressed."
14,16,How can I check whether I got depression,"The ideal solution is to have full neuropsychological and psychiatric evaluations.
The results of the testing should be confirmed by the impressions of the neuropsychologist or psychiatrist. Otherwise, further testing or evaluation may be recommended to understand the results. 
Just like a cholesterol test, some preparations help ensure sound results from the evaluation. 
Get a good night’s sleep and avoid taking the tests if there are specific and acute stressors in your life at that moment so that you can get the most accurate assessment. 
Nobody thinks psychological tests are the only deciding factor.
Many doctors trust their intuition more than tests and will change their clinical diagnosis only if there is clear supporting evidence"
15,16,How to deal with incontinence,"Treatment of both fecal and urinary incontinence involves taking action before the signal to go gets too strong. 
That way you have more time to get yourself to the toilet and you don’t need as much effort from your brain to keep things under control.
Incontinence is more common with severe stroke.
Problems with both types of incontinence tend to clear up within three months of the stroke. 
But when they don’t, serious, longstanding problems are often reasons for deciding to admit someone to a nursing home. 
Even the most dedicated caretaker cannot maintain standards of hygiene if your mobility is limited and you remain incontinent for an extended time."
